,time_index,compound_id,step,braking_id,time,pressure_bar,temp_c,speed_kph,mu,A_1,A_2,A_3,A_4,A_5,A_6,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,C_1,C_2,C_3,C_4,C_5,C_6,D_1,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12
14,14,17937-115,Burnishing 1,burnishing_1_1,2.089833333,9.202420676,36.32680041,56.31880793,0.5053092034,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
15,15,17937-115,Burnishing 1,burnishing_1_1,2.178666667,9.177586735,37.96958111,55.05847397,0.4867824335,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
16,16,17937-115,Burnishing 1,burnishing_1_1,2.2675,9.251886655,39.75189123,53.73129803,0.4976958525,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
17,17,17937-115,Burnishing 1,burnishing_1_1,2.356333333,9.147301441,41.62586301,52.41056468,0.506175929,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
18,18,17937-115,Burnishing 1,burnishing_1_1,2.445166667,9.151743284,43.63529037,51.14338546,0.4871323791,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
19,19,17937-115,Burnishing 1,burnishing_1_1,2.534,9.277326302,45.63657001,49.86815299,0.4885891293,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
20,20,17937-115,Burnishing 1,burnishing_1_1,2.622833333,9.359500399,47.89144693,48.56312349,0.4992095706,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
21,21,17937-115,Burnishing 1,burnishing_1_1,2.711666667,9.221601362,50.14021307,47.28064309,0.4827621286,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
22,22,17937-115,Burnishing 1,burnishing_1_1,2.8005,9.569276534,52.48369626,46.00500796,0.4879543443,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
23,23,17937-115,Burnishing 1,burnishing_1_1,2.889333333,9.516782024,54.894398,44.68266396,0.462611774,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
24,24,17937-115,Burnishing 1,burnishing_1_1,2.978166667,9.532732279,57.24195504,43.3933383,0.479360332,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
25,25,17937-115,Burnishing 1,burnishing_1_1,3.067,9.583813475,59.76468771,42.05730378,0.4783593249,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
26,26,17937-115,Burnishing 1,burnishing_1_1,3.155833333,9.558777632,62.09187549,40.79374852,0.4771263771,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
27,27,17937-115,Burnishing 1,burnishing_1_1,3.244666667,9.685168258,64.6410882,39.46979388,0.4826726076,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
28,28,17937-115,Burnishing 1,burnishing_1_1,3.3335,9.54928824,67.04873455,38.19415874,0.4681783502,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
29,29,17937-115,Burnishing 1,burnishing_1_1,3.422333333,9.841036569,69.45841783,36.88228398,0.4786604409,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
30,30,17937-115,Burnishing 1,burnishing_1_1,3.511166667,9.634087062,71.80291948,35.6308086,0.4580217902,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
31,31,17937-115,Burnishing 1,burnishing_1_1,3.6,9.996904881,74.06390718,34.33101371,0.4608294931,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
32,32,17937-115,Burnishing 1,burnishing_1_2,0.535,11.95333486,83.16896573,76.19987139,0.3917355876,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
33,33,17937-115,Burnishing 1,burnishing_1_2,0.6296666667,11.73003129,83.07323021,74.59807955,0.3975788649,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
34,34,17937-115,Burnishing 1,burnishing_1_2,0.7243333333,11.53297498,83.02434399,73.10500661,0.4020956043,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
35,35,17937-115,Burnishing 1,burnishing_1_2,0.819,11.35489745,83.16896573,71.6481733,0.4102664266,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
36,36,17937-115,Burnishing 1,burnishing_1_2,0.9136666667,11.19539491,83.2137781,70.23643821,0.4158736941,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
37,37,17937-115,Burnishing 1,burnishing_1_2,1.008333333,11.07708036,83.36247368,68.85530547,0.4207485173,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
38,38,17937-115,Burnishing 1,burnishing_1_2,1.103,10.91152075,83.43783994,67.45887156,0.4180059206,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
39,39,17937-115,Burnishing 1,burnishing_1_2,1.197666667,10.93009573,83.68838182,66.07451752,0.4196986806,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
40,40,17937-115,Burnishing 1,burnishing_1_2,1.292333333,10.9062713,83.8839267,64.67808361,0.4210740481,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
41,41,17937-115,Burnishing 1,burnishing_1_2,1.387,10.6898324,84.09780392,63.31305738,0.4211798456,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
42,42,17937-115,Burnishing 1,burnishing_1_2,1.481666667,10.71365683,84.43185976,61.94561517,0.4254687134,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
43,43,17937-115,Burnishing 1,burnishing_1_2,1.576333333,10.69144762,84.84942956,60.56448243,0.4345021922,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
44,44,17937-115,Burnishing 1,burnishing_1_2,1.671,10.56263417,85.23440854,59.17932307,0.4400524918,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
45,45,17937-115,Burnishing 1,burnishing_1_2,1.765666667,10.54123256,85.53383664,57.78208383,0.4333058667,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
46,46,17937-115,Burnishing 1,burnishing_1_2,1.860333333,10.51135107,86.06547429,56.39531382,0.4372122359,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
47,47,17937-115,Burnishing 1,burnishing_1_2,1.955,10.51175487,86.68266282,55.03592487,0.4393444624,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
48,48,17937-115,Burnishing 1,burnishing_1_2,2.049666667,10.4011126,87.13486036,53.62741107,0.4501113926,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
49,49,17937-115,Burnishing 1,burnishing_1_2,2.144333333,10.26139645,87.66038723,52.25352626,0.4446424757,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
50,50,17937-115,Burnishing 1,burnishing_1_2,2.239,10.36517405,88.4853422,50.858703,0.4400036622,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
51,51,17937-115,Burnishing 1,burnishing_1_2,2.333666667,10.24968613,89.16363851,49.49850872,0.4433159378,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
52,52,17937-115,Burnishing 1,burnishing_1_2,2.428333333,10.33004311,89.83989789,48.09402155,0.4530981374,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
53,53,17937-115,Burnishing 1,burnishing_1_2,2.523,10.29975782,90.77688378,46.71772077,0.4432264168,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
54,54,17937-115,Burnishing 1,burnishing_1_2,2.617666667,10.24403288,91.78516207,45.34544661,0.4424939726,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
55,55,17937-115,Burnishing 1,burnishing_1_2,2.712333333,10.37688437,92.63863401,43.9425701,0.4408174891,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
56,56,17937-115,Burnishing 1,burnishing_1_2,2.807,10.22343888,93.63672767,42.57190659,0.4370983001,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
57,57,17937-115,Burnishing 1,burnishing_1_2,2.901666667,10.35830939,94.74888919,41.20446438,0.4489476201,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
58,58,17937-115,Burnishing 1,burnishing_1_2,2.996333333,10.36840448,95.87938303,39.79272929,0.4419731234,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
59,59,17937-115,Burnishing 1,burnishing_1_2,3.091,10.36517405,97.05265232,38.44542021,0.441175573,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
60,60,17937-115,Burnishing 1,burnishing_1_2,3.185666667,10.53073366,98.18722002,37.03932239,0.4328419853,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
61,61,17937-115,Burnishing 1,burnishing_1_2,3.280333333,10.45158809,99.39715398,35.71617307,0.4355764438,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
62,62,17937-115,Burnishing 1,burnishing_1_2,3.375,10.65106723,100.7374512,34.2826942,0.4266487625,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
63,63,17937-115,Burnishing 1,burnishing_1_3,0.535,12.01390544,95.42107472,76.2481909,0.3806268502,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
64,64,17937-115,Burnishing 1,burnishing_1_3,0.6296666667,11.90205176,95.57588108,74.70760378,0.3797316406,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
65,65,17937-115,Burnishing 1,burnishing_1_3,0.7243333333,11.72962749,95.89160459,73.22580539,0.3876501765,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
66,66,17937-115,Burnishing 1,burnishing_1_3,0.819,11.49663263,96.17270036,71.79313184,0.396252327,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
67,67,17937-115,Burnishing 1,burnishing_1_3,0.9136666667,11.38235612,96.47416538,70.39669793,0.4009236936,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
68,68,17937-115,Burnishing 1,burnishing_1_3,1.008333333,11.22043075,96.79599967,69.03650365,0.4063844722,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
69,69,17937-115,Burnishing 1,burnishing_1_3,1.103,11.01570216,97.21764332,67.67630937,0.4175176244,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
70,70,17937-115,Burnishing 1,burnishing_1_3,1.197666667,10.91555879,97.62502849,66.26779557,0.4257372763,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
71,71,17937-115,Burnishing 1,burnishing_1_3,1.292333333,10.73465464,98.04667214,64.87136166,0.4321095411,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
72,72,17937-115,Burnishing 1,burnishing_1_3,1.387,10.55657711,98.51312816,63.46284787,0.4363902707,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
73,73,17937-115,Burnishing 1,burnishing_1_3,1.481666667,10.49762174,98.99587958,62.08252046,0.4372692038,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0.8,5,0,0,0,23,29.8,1.4,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
